step,igd
133,0.10026264557187725
266,0.08571099732792034
666,0.0677338151646165
1333,0.04968006391326289
2666,0.025655974596623138
9333,0.008688013025872365
16000,0.006184430741211867
22666,0.005276245207004201
29333,0.004853058178278787
36000,0.004834434104712357
42666,0.004845090620873714
49333,0.004504750835750658
56000,0.00429935074049665
62666,0.004442049863413362
69333,0.004434481535146548
76000,0.0043658033666996495
82666,0.004096547976890491
89333,0.003953243438732259
96000,0.003983903325278856
102666,0.00430916201996977
109333,0.004069494735479117
116000,0.004080025522538892
122666,0.004184805388739947
129333,0.004081099246499991
136000,0.004061717356965557
142666,0.00405111035269381
149333,0.0038997788655698532
156000,0.004196886404470853
156000,0.004196886404470853
