step,igd
133,1.2013583315561462
266,1.133231616289743
666,1.057843944990792
1333,0.9189257810616828
2666,0.7613190574320257
9333,0.5048860455996441
16000,0.45049548988271004
22666,0.42258851898477057
29333,0.39999986866008475
36000,0.3774587168891963
42666,0.368036541921018
49333,0.3604175111670856
56000,0.3517683946669401
62666,0.3464412761977678
69333,0.34004517129396356
76000,0.32017636504271224
82666,0.29737610881628523
89333,0.289739751743782
96000,0.28383586216046286
102666,0.2794155519240581
109333,0.2706546402845184
116000,0.26518654873937403
122666,0.2575959025698452
129333,0.24568948844299077
136000,0.24416279779902328
142666,0.24181366360867776
149333,0.23000132558747538
150300,0.2276130654935179
