step,igd
133,0.6353477591678061
266,0.5399996832294465
666,0.5011168428108738
1333,0.4398339843474428
2666,0.3093273154822223
9333,0.173913206796091
16000,0.115014715817428
22666,0.09518425833709225
29333,0.08226841441006673
36000,0.06582828478862403
42666,0.05581872920553768
49333,0.04671681314762496
56000,0.041450767707655274
62666,0.03790862859385114
69333,0.03583536406780342
76000,0.03408611240190966
82666,0.03136028303517063
89333,0.029850808894499852
96000,0.029711215398434448
102666,0.027792185784166895
109333,0.026930622994305042
116000,0.026228345914188846
122666,0.026024824120132486
129333,0.02503770675496378
136000,0.02486070336962103
142666,0.02453036300438478
149333,0.024692513169244944
150300,0.024924678429090324
