step,hv,diffToOptimal
133,0.7039159550015452,0.29523511940699143
266,0.7161985097579298,0.2829525646506069
666,0.7457525503266207,0.253398524081916
1333,0.8162621444288471,0.18288892997968953
2666,0.8855596399643206,0.11359143444421604
9333,0.9848892556913319,0.014261818717204777
16000,0.9935184104817708,0.0056326639267658685
22666,0.9965448203045973,0.0026062541039393317
29333,0.9969047468243416,0.0022463275841950736
36000,0.9974512110673857,0.00169986334115102
42666,0.9982227628232756,0.0009283115852610768
49333,0.998345553148296,0.0008055212602406936
56000,0.998364447075728,0.0007866273328086537
62666,0.9983665872967631,0.0007844871117735908
69333,0.9983699616485782,0.0007811127599585133
76000,0.9983721057232875,0.0007789686852491817
82666,0.998374086165195,0.0007769882433417141
89333,0.9983753093082927,0.0007757651002440191
96000,0.9983807989301625,0.0007702754783741605
102666,0.9983814729747811,0.0007696014337555956
109333,0.9983837806472872,0.0007672937612495101
116000,0.9983839503793482,0.0007671240291884374
122666,0.9983847375416065,0.0007663368669301729
129333,0.9983849837448219,0.0007660906637148024
136000,0.9983852106877494,0.000765863720787241
142666,0.9983855938294637,0.0007654805790729968
149333,0.9983860095353769,0.0007650648731597487
150300,0.9983860116114708,0.0007650627970658963
