step,igd
133,0.8194238695214957
266,0.7661579476057319
666,0.7885214847493346
1333,0.7596504644329868
2666,0.7378862083914265
9333,0.6161026171180845
16000,0.6092012098496553
22666,0.6133689215549952
29333,0.5687357031688873
36000,0.5684045869545148
42666,0.5376646909462705
49333,0.5349001254644615
56000,0.5301424317167241
62666,0.5321855259085126
69333,0.5351049817868382
76000,0.5348372605292214
82666,0.5345282630931516
89333,0.5292796061572084
96000,0.5346307598971868
102666,0.534328258284611
109333,0.5344875015929207
116000,0.5332189976810264
122666,0.5287878605202746
129333,0.5285817805394898
136000,0.5314516207061771
142666,0.5324832759383069
149333,0.5323632766965914
150300,0.5323668096918798
