step,hv,diffToOptimal
133,0.44054851571538717,0.05507700388535541
266,0.4520014382072757,0.04362408139346691
666,0.4551010549178154,0.0405244646829272
1333,0.4623877881229273,0.03323773147781528
2666,0.4730457839133909,0.022579735687351665
9333,0.48657346481908476,0.009052054781657826
16000,0.48726776109683234,0.00835775850391024
22666,0.48757316415052754,0.008052355450215043
29333,0.4876694139678452,0.007956105632897392
36000,0.48774700622983747,0.007878513370905116
42666,0.4877753849419764,0.007850134658766161
49333,0.4878115154834728,0.00781400411726979
56000,0.4880980244167824,0.007527495183960176
62666,0.4881168771011426,0.007508642499599982
69333,0.488226858267662,0.007398661333080592
76000,0.48842963730815425,0.007195882292588329
82666,0.4885839507117585,0.007041568888984107
89333,0.48859240350491406,0.007033116095828518
96000,0.4886242711490873,0.007001248451655284
102666,0.4886963905478822,0.006929129052860361
109333,0.4939841253131456,0.0016413942875969645
116000,0.49420298464491613,0.0014225349558264488
122666,0.4943523260727814,0.0012731935279611806
129333,0.4944346195549643,0.0011909000457782648
136000,0.49446696800338413,0.0011585515973584481
142666,0.49453910514064814,0.0010864144600944425
149333,0.49454763483081404,0.0010778847699285388
150300,0.49454772554540816,0.0010777940553344245
