step,hv,diffToOptimal
13,0.4791082360585758,0.024617837860994807
26,0.4887730403353012,0.01495303358426936
66,0.4926507331729425,0.011075340746628082
133,0.4969205509800519,0.006805522939518693
266,0.501223706549742,0.002502367369828562
666,0.5029493995661868,0.0007766743533837994
1333,0.503490258692117,0.00023581522745352856
2666,0.5037111515245853,1.4922394985239507e-05
4000,0.5037172389921766,8.83492739400804e-06
5333,0.5037196667238472,6.40719572342352e-06
6666,0.5037209782429597,5.095676610888944e-06
8000,0.503722133437259,3.940482311559634e-06
9333,0.50372284674557,3.2271740005862526e-06
10666,0.503723321728858,2.7521907125516165e-06
12000,0.5037237450334626,2.3288861079606704e-06
13333,0.5037240245189424,2.049400628201248e-06
14666,0.5037243003435743,1.773575996288912e-06
16000,0.5037245078814233,1.5660381472715201e-06
17333,0.503724705183799,1.3687357716118953e-06
18666,0.5037248472991401,1.226620430450076e-06
20000,0.5037250201559409,1.0537636296881203e-06
21333,0.5037251486310855,9.252884850541321e-07
22666,0.5037252558156277,8.18103942923365e-07
24000,0.5037253418012624,7.321183081998583e-07
25333,0.5037254192783883,6.546411822627718e-07
26666,0.5037254929672299,5.809523406785644e-07
26700,0.5037254959252526,5.779943179629043e-07
