step,igd
13,0.3866725373550516
26,0.3403657329753593
66,0.3663733040353118
133,0.6075523735069757
266,0.5219972309080517
666,0.5047563966991282
1333,0.062367461811104974
2666,0.0032643291658561234
4000,0.002020560455372147
5333,0.0016263760887585668
6666,0.0013446347999722804
8000,0.0011186955383365143
9333,0.0009493980313627949
10666,0.000830029849282994
12000,0.0007161425944919122
13333,0.0006493218563185229
14666,0.0005800607866838252
16000,0.0005163046945604867
17333,0.0004668190111615031
18666,0.00043309996386122325
20000,0.0003768427698015811
21333,0.00035059452148133275
22666,0.0003200982924550324
24000,0.0002959997159285166
25333,0.0002817902287040299
26666,0.0002620801794075501
26700,0.00026080277631821596
