step,igd
133,1.2727455197566373
266,1.1250666676182983
666,1.021979336374361
1333,0.9187159381859707
2666,0.7612970193855904
9333,0.46494101080268957
16000,0.41852834213312035
22666,0.3835097762424433
29333,0.3687577750817801
36000,0.36004502592931525
42666,0.34868451419887436
49333,0.34033860049521875
56000,0.3381374248410577
62666,0.3266481354293502
69333,0.31627811687038854
76000,0.31005329401103515
82666,0.30220913708823344
89333,0.2969048733199986
96000,0.28725399954013736
102666,0.2856456486269633
109333,0.27064108229207906
116000,0.2668758988822964
122666,0.25853407908626636
129333,0.25641484785434804
136000,0.24741445579201493
142666,0.24530009923114554
149333,0.2351803960483959
150300,0.23424170909016453
