step,hv,diffToOptimal
133,0.382449503130265,0.09692750821258234
266,0.41572859544657004,0.06364841589627729
666,0.43154463368758866,0.04783237765525866
1333,0.44263553737013644,0.03674147397271088
2666,0.4561496215873948,0.02322738975545252
9333,0.4743368624027767,0.005040148940070599
16000,0.4765285562926447,0.0028484550502026473
22666,0.47698373657358323,0.0023932747692640977
29333,0.4771577716389212,0.0022192397039261236
36000,0.4772825500966172,0.0020944612462301393
42666,0.4774166213627728,0.0019603899800745284
49333,0.4774749221398494,0.0019020892029979475
56000,0.4776451256291412,0.0017318857137061383
62666,0.47772344163407404,0.0016535697087732837
69333,0.4778555247000214,0.00152148664282592
76000,0.4779512529747839,0.0014257583680634123
82666,0.47797084223697944,0.0014061691058678827
89333,0.4780421622360068,0.0013348491068405077
96000,0.47807353842797956,0.0013034729148677648
102666,0.4781743412236034,0.0012026701192439093
109333,0.4783075619298339,0.0010694494130134014
116000,0.47834006180624067,0.0010369495366066572
122666,0.478376142355598,0.001000868987249326
129333,0.4784626242843434,0.0009143870585039404
136000,0.4785065131148562,0.0008704982279911233
142666,0.47858782543367806,0.0007891859091692655
149333,0.47862135352666885,0.0007556578161784788
150300,0.4786234732412825,0.0007535381015648102
