step,igd
133,0.7001027862445156
266,0.6912144739962572
666,0.8517862772175198
1333,0.6363775065345284
2666,0.7919397195536532
9333,0.5896231866114855
16000,0.5738883352916052
22666,0.6137706205437578
29333,0.610179256550898
36000,0.613256653168763
42666,0.6148297709244922
49333,0.6051388679804239
56000,0.6051731508020327
62666,0.6000478098484838
69333,0.6059886515731395
76000,0.606262149135338
82666,0.6061888475486709
89333,0.6088740970073117
96000,0.6043011074409175
102666,0.6066208562205964
109333,0.6065094103989701
116000,0.5881372731440164
122666,0.5834594703722161
129333,0.5860103883659459
136000,0.585281832220018
142666,0.5842531843337805
149333,0.5876176840590847
150300,0.5876124052579245
