step,igd
13,0.2100730215888343
26,0.1816519869688714
66,0.11795151864920671
133,0.19159047714770985
266,0.12987502924808605
666,0.35486988872983466
1333,0.16664205908049148
2666,0.17728270575107355
4000,0.09966346019935197
5333,0.0859676108967799
6666,0.08548063202437413
8000,0.08546673984752085
9333,0.08537863649221716
10666,0.08513735799708255
12000,0.08522573038452828
13333,0.08516121474798645
14666,0.08488935513615212
16000,0.08488651117430018
17333,0.08418330565585096
18666,0.08418246025659164
20000,0.08417769220895412
21333,0.08416835650454776
22666,0.08416336188935986
24000,0.08415891818690271
25333,0.08414383643570217
26666,0.08406094315565657
26700,0.08406151179967866
