step,hv,diffToOptimal
13,0.1843677926337651,0.7583984777583382
26,0.20578093355551416,0.7369853368365892
66,0.21186512408455713,0.7309011463075462
133,0.4551781179518796,0.48758815244022374
266,0.5211928701779385,0.4215734002141649
666,0.8469818881932609,0.09578438219884244
1333,0.9092218689869891,0.03354440140511428
2666,0.9390702886966815,0.003695981695421846
4000,0.9420708396882972,0.0006954307038061769
5333,0.9424901466137058,0.0002761237783975856
6666,0.9426257242648965,0.0001405461272068198
8000,0.9427043240614473,6.19463306560375e-05
9333,0.9427522071496066,1.4063242496753503e-05
10666,0.942782092349544,1.5821957440653733e-05
12000,0.942804984903356,3.8714511252591066e-05
13333,0.9428187211765026,5.245078439919393e-05
14666,0.9428307051445001,6.44347523967026e-05
16000,0.9428397419262825,7.347153417913699e-05
17333,0.9428467715555037,8.050116340030389e-05
18666,0.9428530305239621,8.676013185870968e-05
20000,0.9428589127523683,9.264236026496064e-05
21333,0.9428633119427859,9.704155068257503e-05
22666,0.9428680598238847,0.00010178943178129618
24000,0.9428715550957812,0.00010528470367787701
25333,0.9428745093285595,0.00010823893645617311
26666,0.9428770598096087,0.00011078941750530813
26700,0.9428773044697684,0.0001110340776649954
