step,igd
13,1.405361600901308
26,1.405361600901308
66,1.1050471500734882
133,0.8636646683411522
266,0.8453432191689937
666,0.5419835384522143
1333,0.2680820692218842
2666,0.10428739671917565
4000,0.02197985873023734
5333,0.00863409383485497
6666,0.004197274260706817
8000,0.0023688680970278893
9333,0.0014243952339768938
10666,0.000968308394808956
12000,0.0006833055837045124
13333,0.0005274331493416656
14666,0.00043525612759436186
16000,0.00034004148680420065
17333,0.00029096987826477154
18666,0.00025545457181613834
20000,0.0002197040139829065
21333,0.00019286166702098628
22666,0.00018940803792304075
24000,0.0001708952033043925
25100,0.00016269913764748324
