step,hv,diffToOptimal
13,0.4212056027011247,0.48377956327581106
26,0.43519482544140103,0.46979034053553476
66,0.5477521511714575,0.3572330148054783
133,0.5931071779457341,0.3118779880312017
266,0.6211740916056162,0.2838110743713196
666,0.7326709256617968,0.17231424031513898
1333,0.812763639763327,0.0922215262136088
2666,0.8753579343479556,0.029627231628980177
4000,0.8981684983733216,0.006816667603614213
5333,0.902831736084144,0.0021534298927917694
6666,0.9038145515041717,0.00117061447276412
8000,0.9043777458938018,0.0006074200831339693
9333,0.9046133673376119,0.0003717986393239059
10666,0.9047424570936722,0.0002427088832636093
12000,0.9048207853118193,0.00016438066511648142
13333,0.9048824799920666,0.00010268598486917746
14666,0.9049078742775628,7.72916993729833e-05
16000,0.9049241889516879,6.097702524787696e-05
17333,0.9049357227654323,4.944321150346376e-05
18666,0.9049446007481209,4.0565228814903875e-05
20000,0.9049533926156877,3.1773361248044196e-05
21333,0.9049612456016204,2.3920375315400477e-05
22666,0.9049658409151122,1.9325061823560752e-05
24000,0.9049691829039652,1.598307297057122e-05
25100,0.9049723453401137,1.2820636822064024e-05
