step,hv,diffToOptimal
133,0.963164781623486,0.03551562656480356
266,0.9632990604492688,0.035381347739020685
666,0.9659273048417863,0.032753103346503165
1333,0.9792302217436799,0.019450186444609607
2666,0.9870304019653868,0.011650006222902687
9333,0.9953130324993776,0.0033673756889118778
16000,0.9975985782970495,0.0010818298912400603
22666,0.9978890857517946,0.0007913224364949345
29333,0.9979314608816294,0.000748947306660086
36000,0.9979332202974573,0.0007471878908321683
42666,0.9979338378441318,0.0007465703441577043
49333,0.9981864381563288,0.0004939700319607221
56000,0.9982135098995231,0.00046689828876644857
62666,0.9982222940296691,0.00045811415862040406
69333,0.9982470056689609,0.0004334025193286628
76000,0.9982489179325726,0.00043149025571687094
82666,0.9982553608002634,0.00042504738802606745
89333,0.9982588870342144,0.0004215211540751218
96000,0.9982596391656123,0.00042076902267718097
102666,0.9982593221957486,0.00042108599254087054
109333,0.9983976464406392,0.00028276174765029527
116000,0.9984994259205048,0.00018098226778473503
122666,0.998511437748109,0.00016897044018049368
129333,0.9985120349720048,0.0001683732162847118
136000,0.998516213861242,0.00016419432704750658
142666,0.9985186721392373,0.00016173604905223016
149333,0.998518781182657,0.000161627005632492
156000,0.9985189685811029,0.00016143960718661976
156000,0.9985189685811029,0.00016143960718661976
