step,igd
133,0.3187421309600907
266,0.28211183848639554
666,0.15162558757560224
1333,0.1086946180741501
2666,0.0623929573509837
9333,0.03185458688071271
16000,0.02217854730285227
22666,0.015578125358590418
29333,0.01313211255819194
36000,0.011972441154279026
42666,0.00906818530405541
49333,0.009080550634585943
56000,0.008705610407924917
62666,0.008420879960929927
69333,0.007950673471430686
76000,0.007983340371723442
82666,0.008116134746993315
89333,0.008076836991577699
96000,0.008184079610678806
102666,0.008049611796295743
109333,0.007921892041569267
116000,0.00799721062913938
122666,0.007782917986219117
129333,0.007298764783778957
136000,0.007482091070862725
142666,0.007583879719488037
149333,0.007568513555203863
155700,0.007567531386008154
