step,hv,diffToOptimal
133,0.48484360222488854,0.010131757302870248
266,0.4871433125225336,0.007832047005225162
666,0.4919761912811894,0.0029991682465693725
1333,0.4943071195853159,0.0006682399424428609
2666,0.4946893645819588,0.0002859949458000055
9333,0.4949440822705303,3.127725722851249e-05
16000,0.4950016645836182,2.6305055859432436e-05
22666,0.4950132846642979,3.792513653910756e-05
29333,0.4950180197972476,4.266026948879231e-05
36000,0.49502547524796153,5.0115720202748015e-05
42666,0.4950287947421467,5.343521438794241e-05
49333,0.4950308920761426,5.553254838380761e-05
56000,0.4950314351291565,5.607560139769818e-05
62666,0.49503220457671265,5.684504895386855e-05
69333,0.495032411970999,5.705244324022418e-05
76000,0.4950319522946028,5.6592766843999165e-05
82666,0.4950324904426156,5.713091485681776e-05
89333,0.4950328846875072,5.7525159748439414e-05
96000,0.4950325868852855,5.722735752672348e-05
102666,0.4950331123002166,5.775277245784194e-05
109333,0.4950335247359599,5.816520820112192e-05
116000,0.49503401328780977,5.8653760050986214e-05
122666,0.49503415667190903,5.8797144150246616e-05
129333,0.495034413959203,5.9054431444216515e-05
136000,0.4950343626945828,5.9003166824000974e-05
142666,0.49503507964668036,5.9720118921580134e-05
149333,0.4950347885431613,5.942901540251233e-05
155700,0.495034780579688,5.942105192924263e-05
