step,hv,diffToOptimal
13,0.3165975568905549,0.604976325805728
26,0.5098505040613358,0.4117233786349471
66,0.5173380306509481,0.40423585204533485
133,0.6342659070538575,0.2873079756424254
266,0.7024351851241244,0.21913869757215854
666,0.7801683907795769,0.14140549191670604
1333,0.8498215477091294,0.0717523349871535
2666,0.8771977862458493,0.04437609645043361
4000,0.8956294272019221,0.025944455494360863
5333,0.9143507705732982,0.007223112122984765
6666,0.9181179239135745,0.003455958782708435
8000,0.9191736356325514,0.002400247063731542
9333,0.920844744462007,0.0007291382342758945
10666,0.9211936896353137,0.0003801930609692583
12000,0.9213093721450533,0.0002645105512296686
13333,0.9213673937643855,0.00020648893189745277
14666,0.9214019557760376,0.00017192692024536882
16000,0.9214292709402202,0.00014461175606272914
17333,0.9214539860498859,0.0001198966463969997
18666,0.9214667677792635,0.0001071149170194241
20000,0.9214821481691419,9.1734527141063e-05
21333,0.9214922731128654,8.1609583417519e-05
22666,0.9215005952417532,7.328745452972463e-05
24000,0.9215084364892691,6.544620701387505e-05
25100,0.9215136668372812,6.021585900173321e-05
