step,igd
13,1.4450251685607618
26,1.2801389420289346
66,1.1580182268279293
133,0.9624624092678724
266,0.514982645716692
666,0.6162647662593329
1333,0.4565920462736682
2666,0.2651117241203819
4000,0.14558150035518133
5333,0.032208602079927776
6666,0.014705764481559816
8000,0.011046174450457054
9333,0.0028307354016795794
10666,0.001476098411524601
12000,0.0012160087909131657
13333,0.0009467660256751592
14666,0.0008425927168471788
16000,0.0007223811398672492
17333,0.0006499699982122231
18666,0.0006062875733299262
20000,0.0005436063666289412
21333,0.00048262585884681857
22666,0.0004573997043311911
24000,0.00042269453151053897
25100,0.0003990617085843283
